x,y,z
57,73.73333740234375,a
57,72.73333740234375,a
60,72.73333740234375,a
67,78.73333740234375,a
77,88.73333740234375,a
83,93.73333740234375,a
94,104.73333740234375,a
100,107.73333740234375,a
112,111.73333740234375,a
120,112.73333740234375,a
132,114.73333740234375,a
153,114.73333740234375,a
180,116.73333740234375,a
205,116.73333740234375,a
228,116.73333740234375,a
248,114.73333740234375,a
261,114.73333740234375,a
274,113.73333740234375,a
292,113.73333740234375,a
337,123.73333740234375,a
380,140.73333740234375,a
429,168.73333740234375,a
465,189.73333740234375,a
489,208.73333740234375,a
511,228.73333740234375,a
529,245.73333740234375,a
551,259.73333740234375,a
573,267.73333740234375,a
593,271.73333740234375,a
604,272.73333740234375,a
617,272.73333740234375,a
645,272.73333740234375,a
665,269.73333740234375,a
689,267.73333740234375,a
716,264.73333740234375,a
742,264.73333740234375,a
780,264.73333740234375,a
806,267.73333740234375,a
819,270.73333740234375,a
841,281.73333740234375,a
863,293.73333740234375,a
886,308.73333740234375,a
916,322.73333740234375,a
920,323.73333740234375,a
924,324.73333740234375,a
929,325.73333740234375,a
941,330.73333740234375,a
951,334.73333740234375,a
963,338.73333740234375,a
972,343.73333740234375,a
976,345.73333740234375,a
980,348.73333740234375,a
983,351.73333740234375,a
989,354.73333740234375,a
991,356.73333740234375,a
993,356.73333740234375,a
994,357.73333740234375,a
996,360.73333740234375,a
997,361.73333740234375,a
1001,364.73333740234375,a
1001,365.73333740234375,a
1003,366.73333740234375,a
1003,367.73333740234375,a
1004,367.73333740234375,a
163,209.73333740234375,b
173,206.73333740234375,b
190,203.73333740234375,b
209,199.73333740234375,b
225,194.73333740234375,b
241,189.73333740234375,b
257,184.73333740234375,b
272,181.73333740234375,b
292,179.73333740234375,b
311,178.73333740234375,b
333,178.73333740234375,b
351,178.73333740234375,b
364,178.73333740234375,b
377,180.73333740234375,b
391,186.73333740234375,b
408,191.73333740234375,b
428,194.73333740234375,b
446,194.73333740234375,b
469,194.73333740234375,b
484,192.73333740234375,b
499,190.73333740234375,b
514,187.73333740234375,b
529,186.73333740234375,b
544,186.73333740234375,b
565,184.73333740234375,b
595,181.73333740234375,b
629,181.73333740234375,b
660,181.73333740234375,b
689,181.73333740234375,b
715,180.73333740234375,b
749,175.73333740234375,b
772,168.73333740234375,b
791,161.73333740234375,b
808,159.73333740234375,b
829,155.73333740234375,b
851,155.73333740234375,b
877,155.73333740234375,b
900,162.73333740234375,b
920,168.73333740234375,b
933,172.73333740234375,b
934,172.73333740234375,b
947,172.73333740234375,b
957,175.73333740234375,b
964,177.73333740234375,b
971,180.73333740234375,b
975,183.73333740234375,b
978,184.73333740234375,b
983,185.73333740234375,b
990,187.73333740234375,b
993,188.73333740234375,b
995,189.73333740234375,b
997,191.73333740234375,b
998,192.73333740234375,b
998,193.73333740234375,b
